,index,Sentence,Polarity_Classification
88,88,"It is an off-beat,slightly wacky and very page-turning book,that I imagine would make a really fun family movie with a similiar humour to Matilda",Positiva
89,89,"He understands his methods, but also finds it impossible to intervene",Neutra
90,90,"While at school Arthur obtains a ""Key"" shaped like a minute hand on a clock",Neutra
91,91,&lt;br&gt;	Angela and Diabola is a great fiction book with wonderful dialogue and text,Positiva
92,92,"I suppose that's not Zindel's fault, but I do expect a fiction author to be able to cause the reader to feel what the characters are feeling, or sympathize with their situations",Negativa
93,93,"At times, I found myself wondering if the author would ever start discussing Capone",Negativa
94,94,"The characters are complex and believable, the plot consistent and the  outcome unguessable until the last pages",Positiva
95,95,"I wouldn't like it myself because if a brilliant deviation from the outlined plot occurred to me for a later book, but it needed a rewrite of the first book, this couldn't be done",Negativa
96,96,"A retired heart surgeon, Ben Givens is an old hand at turning  isolation to his advantage, both professionally and personally: ""When  everything human was erased from existence except that narrow antiseptic  window through which another's heart could be manipulated--few were as  adroit as Dr",Neutra
97,97,"It provides a great insight into the behind the scenes goings-on in parliament, the rivalries and treacheries in the run up to Winston Churchill becoming Britains war time Prime Minister",Neutra
98,98,"Kingston examines that many facets of wifeliness that seem to prevail: helpmeet, virgin, Cinderella (equally entranced by the wedding dress as she is of scented toilet bowl cleaner), victim of abuse, shrew, spinster (or unwife), or supporting actress",Neutra
99,99,"Suck as when there is a fire in the library, he goes to a locked door, but the key gets it open for him",Neutra
100,100,Overall a good book from the period,Positiva
101,101,"-enjoy the genre of fantasies, of a unknown world, as Nix weaves a wonderful tale of the things that will open your eyes to a different world",Positiva
102,102,"I also picked up on a religious tone to the book, which I only mention to make you aware that it's in there",Negativa
103,103,"I'm inclined to agree with Ramseelbird's review, and unlike indiegirl29, I don't recall Liz going out with another guy who nearly rapes her",Neutra
104,104,This is slated as a 'crime novel' but it is so much more!,Neutra
105,105,Time moves differently there and the laws of nature/physics mean nothing,Neutra
106,106,This book wraps you up in the story; it sucks you into the pages like a black hole,Positiva
107,107,"She shares visions with Jack, who digs deeper into a cesspool in search of his wife",Neutra
108,108,"Also when Arthur was in the house he had many battles and such, and also the last fight",Neutra
109,109,"MISTER MONDAY is the first in a new series by Garth Nix, author of THE SEVENTH TOWER",Neutra
110,110,Garth Nix has created a surprising world of fascinating characters and ideas,Positiva
111,111,I am 13 and I still enjoy it,Positiva
112,112,"Monday and he is being pushed about by his butler, Sneezer",Neutra
113,113,"Also chasing down Radecki is Petra Becker, a criminal intelligence officer in Berlin who has been after him for years and is hot on his trail after the murder of a drug dealer",Neutra
114,114,I loved the chapter: Diabola develops new skills,Positiva
115,115,"I would have preferred more emphasis on Tony Hill's aspect of the book, but we don't always get what we want, and this book certainly displays Carol Jordan's full abilites",Positiva
116,116,"The novel is full of conversation, and as for action you'll have to settle for walks through the garden of Buckingham Palace with Lord Halifax, and King George VI (who, we find out, was so tongue tied that it was difficult for him to make clear statements)",Neutra
117,117,But when they go to school the principal thinks Diabola is a genius,Positiva
118,118,"All other characters are vivid and interesting, both good and bad, and immensely memorable",Positiva
119,119,They are all complex enough that certain things are missed in the first reading,Positiva
120,120,"This book is a total mess: the key concept makes no sense, the characters are mostly uninteresting, and the big introductory scene about the murder of the scientist's family has NOTHING to do with the plot",Negativa
121,121,"Angela is one of the main characters and on of the twins, and is a sweet, kind and, can you believe when she was being born she wasn't crying at all, that can't be",Positiva
122,122,"In spite of the cover shot, this book is not anti-marriage",Neutra
123,123,Nix makes some interesting speculations upon the origins of the universe,Positiva
124,124,"This author uses atrocities committed by a group in the 20th century that I generally have tired of reading, as they have become the crutch for any form of evil",Neutra
125,125,"Will Arthur save the world from the plague? How did the ""Will"" escape? Read Mister Monday and all those questions will be answered!",Negativa
126,126,This book is not the best book for storytime or a bedtime story,Negativa
127,127,"The cast of characters in this sweeping story by Michael Dobbs of political maneuvering, skullduggery, and backstabbing is an historical Who's Who of the times: the ailing, haughty, and pacifist Chamberlain, who personifies England's bitter memories of the Great War and the popular concept of ""never again""; the ambitious and self-absorbed Churchill, whose pugnacity sometimes clouds prudence; the defeatist, philandering, and anti-Semitic U",Negativa
128,128,"But I will say that Garth Nix is a very clever, talented writer",Positiva
129,129,It's one of those books that keep you turning the page and craving for more,Positiva
130,130,"Boryk's book is much more easily absorbed than  Tseitlin &amp; Glaskov's, Budapest for the Tournament Player, with its  head-spinning variations and transpositions",Positiva
131,131,"Jack Whalen is a patrol cop who could have become a detective, but didn't",Neutra
132,132,"But it's still a fine read, so go ahead and check it out",Positiva
133,133,"If you only have time to read one chapter, read chapter 2 ""Heart of Whiteness"" about the wedding industry",Positiva
134,134,This part of the story would seem more original if it hadn't been done just last month in the techno thriller HOOKED,Negativa
135,135,I loved re-reading it to discover the clues I had missed,Positiva
136,136,"How you know you don't like it is if you don't like exciting, funny and adventurous books",Positiva
137,137,Harry Potter lovers can definitely find a new love in this series,Positiva
138,138,But Jack has no time for Gary as he's just discovered his wife's cell phone has been found in a Seattle taxi,Neutra
139,139,"She gives more power and validity to pop-culture than it deserves and puts a negative spin on happy, non-harmful traditions",Negativa
140,140,For some reason I think Angela needed badness more then Diabola  needed goodness,Neutra
141,141,now he is thurst into a situation that is far out of his hands,Neutra
142,142,"This brilliantly written, corrosive text contains excellent short evaluations of Nietzsche, Marx, Berkeley, Plato and Stoicism",Positiva
143,143,Mister Monday is the kind of book that pulls you in after the first page and pulls you to the end,Positiva
144,144,This book is jam-packed with many fantastical inventions that is purely Nix at his best,Positiva
145,145,This is a great book to teach size relationships as well as some basic reading words,Positiva
146,146,"During this attack, A strangfe man named Mister Monday comes, and is tricked into giving Aurther a minute hand shaped ""key""- which is what they called it",Neutra
147,147,"It is also rather emotional at times, though, for instance when Angela encounters these weird feelings where she feels she must be near Diabola",Positiva
148,148,The intricate world of the House was highly entertaing and origional and Nix stuns me every time he writes a new story,Positiva
149,149,I finished it in record time because it was THAT interesting,Positiva
150,150,Him and his friends were very immature,Negativa
151,151,But later their parents made them to be christian and the good one called Angela while the bad one called Diabola,Neutra
152,152,Monday was fantasy,Neutra
153,153,The killer's identity will susprise you,Neutra
154,154,Its about twins,Positiva
155,155,"He has an intellectual fascination with details, and the psychology of genocide",Positiva
156,156,They introduce their awkward friends Maggie and Dennis to each other,Negativa
157,157,"A couple of days later, his town is invaded by a Sleepy Plague, and Arthur has no other choice but to enter the House and try to save his city",Neutra
158,158,"Both the complexity of the plot and the at times nightmare-like imagery may keep this from being a book for fifth grade and under, unless a child in these years is looking to be challenged and a little frightened",Positiva
159,159,this book is about a twelve year old boy named Aurther Penheligon who lost his parents in the outbreak of the flu,Neutra
160,160,"This book is  porbably the 3 or 4th best book I've read,I am only 12 and I am already reading higher grade stuff",Positiva
161,161,Arthur seeks safety within the walls of a house that only he can see,Neutra
162,162,"Garth Nix's originality, while not of the same type as Philip Pullman's, never ceases to amaze me",Positiva
163,163,His gym teacher forces him to run a cross country race even though he explains that he had just recovered from a serious bout of Asthama,Neutra
164,164,"This is NOT a lost art here, people, &amp; there are Native artists producing both traditional &amp; contemporary beadwork that easily rivals the work of our grandparents",Positiva
165,165,"The book suffers little from the amount of ideas and concepts that Nix crams between its covers, which can seem either random or confusing to a first-time reader",Negativa
166,166,It was intense and creepy,Positiva
167,167,Christie was an absolute marvel!,Positiva
168,168,"Definately recommended for anyone who has an interest in WW2, Churchill or British history",Positiva
169,169,"Angela is named because she acts like an angel, and Diabola is named because she acts diabolic (evil)",Neutra
170,170,"Fisher, now a lawyer teetering precariously on the brink of something he himself is struggling to understand, has ostensibly come to ask for Jack's opinion on an estate case he's handling, owing to Jack's past in law enforcement and their connection as former classmates",Negativa
171,171,"And, screen actor Allan Corduner has the power to imbue his reading of the latest by this talented author with the requisite amounts of menace and suspense",Positiva
172,172,"Well-liked by both boys and girls in my middle school classes, this series is favored by boys; and though written at a seventh grade reading level, is also well-liked by high school boys into about tenth grade",Positiva
173,173,I think Kolbler does a good job of detailing the rise of the Mafia,Positiva
174,174,When a journey beckons he steps behind someone else - all well played out themes for Nix newest hero,Neutra
175,175,"Sealed within a small fragment, the Will of the Architect, she who had created this realm and all that inhabit it, her Will had been sealed away, over time the ecurity had become lax, for Sloth has taken over the Lower Atrium of the House",Neutra
176,176,"I was kind of expecting Leaf to be with Arthur through the book as a sidekick, but I liked Suzy just as well",Positiva
177,177,The richly imagined descriptions in this series made it one that I enjoyed reading,Positiva
178,178,"Everything about the environment and, we could say, culture of the House is a parody and play on real life",Positiva
179,179,"&lt;br&gt;     But with this key comes strange creatures from another dimension who pursue the key, and though he doesn't know why, Aurther knows that he shouldn't give it to them{they work for Mister Monday- who wants the key back}",Negativa
180,180,Pretty boring book,Negativa
181,181,"Despite the amount of 'suspension of disbelief' required in the final chapters, this is still a worthwhile entry in the series",Neutra
182,182,They have enjoyed it too,Positiva
183,183,I picked up this book mainly because of its cover not knowing that is was a non-fiction book,Positiva
184,184,"Soon Arthur is being pursued by more dog-faced Fetchers, and a strange plague is sweeping his town -- and somehow the Key is keeping him alive, even though he was supposed to die of an asthma attack",Negativa
185,185,"Meanwhile, in the ordinary world, Arthur Penhaligon is coping with the pressures of the first day at a new school",Neutra
186,186,"Also I thought it was really cool with the house, the way it was described I like it a lot",Positiva
187,187,Garth Nix really outdid hiself when he wrote this one,Positiva
188,188,Also it's cool that a tiny key can turn a yiny atlas into a gigantic one,Neutra
189,189,"The sophistication and talent that a writer needs to maintain two plot lines and ferry seven characters through a full-length novel, may be a challenge to author Val McDermid, but she does it with style, believability and panache in THE LAST TEMPTATION",Positiva
190,190,"I hate giving away endings and plots, so I won't do that here, my advice is to read this entire series (Mermaids Singing, Wire in the Blood, Last Temptation) back to back and then buy Torment of Others as soon as you are able",Neutra
191,191,When he goes the house and touches the key to the wall a black door appears he walks in it and goes to another world,Neutra
192,192,This is not a story for the squeamish,Negativa
193,193,"She gets better and better, though I have no interest in reading her Kate Brannigan series--they sound so fluffy after reading these *intense* psychological mysteries",Positiva
194,194,"He also learns that after creating the universe from Nothing (which is an actual substance in this ""mythology""), the Architect mysteriously departed, leaving a will in the hands of seven trustees, the Morrow Days, who have become corrupt and are now running things to suit themselves",Negativa
195,195,"I had read some MMS here and there; just not really getting into any particular piece, but this book had me spellbound!",Positiva
196,196,It's like the parents have chores going on and off taking care of Diabola,Neutra
197,197,"On the face of it, Arthur Penhaligon is very poor material for a hero",Negativa
198,198,Highly recommended,Positiva
199,199,Enter The House,Neutra
200,200,It even has a recipe for Dandelion Wine,Neutra
201,201,"At times, the author goes into great detail demonstrating the work put into this project",Positiva
202,202,Arthur then got better and ran out of the hospital heading for the House,Neutra
203,203,"Altogether, a most satisfying  read for lovers of spy fiction",Positiva
204,204,This book is his first published (1996),Neutra
205,205,Arthur sets off into the house to find a way to save his world,Neutra
206,206,"Its a Seattle based thriller which deceptively begins as a genre piece, goes on to transcend genre conventions and eventually develops into a dark rumination on identity, relationships, paths not taken and the nature of ourselves",Neutra
207,207,"Arthur, and young boy that was not athletic and had asthma problems, saved the whole world with his key",Positiva
208,208,"The 'serial killer' subplot is not quite as riveting as it might have been, relying on the coincidence of Tony knowing one of the victims",Negativa
209,209,"I would recommend ages 8 and over because that's the ages it would make sense to, but if you are younger you can ask your parents to read it to you",Positiva
210,210,This novel focuses on the issue of sex and  it helps teenagers understand how complicated it gets if the teenager  decides to develope a intimid relationship,Positiva
211,211,"This spectacular book is soooo funny, but at the end there's a real surprise",Positiva
212,212,"""Class Trip"" was definitly one of my favorite books ever, and most likely will always be one",Positiva
213,213,Like this book because it is just like my life in a lot of was,Positiva
214,214,The book starts off with a wild prologue that sets up the Keys to the Kingdom series,Neutra
215,215,This is the best book!,Positiva
216,216,"If you betrayed him, then he could beat you to death like the three Sicilians",Neutra
217,217,The characters were amazing and full of life,Positiva
218,218,"With Mister Monday defeated, Arthur is able to go back home and cure the Fetcher plague",Neutra
219,219,"It took me a considerable amount of time to get into it, only to find that the plot makes little to no sense",Negativa
220,220,This is the ultimate crime and the ultimate murderer,Positiva
221,221,"The story has no story line, it isn't planned out well, the characters aren't described well and its mostly a narator telling the story",Negativa
222,222,"Like many career-minded young women my age, I have no immediate plans to marry, and I would certainly read thuis book a second time if I were ever going to",Negativa
223,223,"""Mister Monday"" reminds me more of ""The Ragwitch"" in that a young boy with absolutely no training learns that he is the Rightful Heir to some improbable kingdom (the Universe) and is also the only person on Earth who can stop/cure the newest, deadliest plague",Neutra
224,224,"In this  installment, MacDonald turns the tables and has good ol' boy Skylar venture  north to visit the very rich Whitfields, where he is, yes, a fish out of  water",Neutra
225,225,"Monday was a funny, lazy villian (or rather a sleepy villian)",Positiva
226,226,"Liz and Sean are very into each other, but Sean keeps pushing the issue with whether or not they are going to ""do it",Neutra
227,227,"One is good(called Jill),another is bad(called Jane)",Neutra
228,228,"What follows is an amazing adventure throughout a world chock-full of danger, intrigue, invention and surprises",Positiva
229,229,Crazy stuff that'll keep you reading,Positiva
230,230,"Jack is reluctant to help until his own wife disappears while supposedly on a business trip to Seattle, and he learns that she may be involved with the same company the missing man was investigating/working with",Neutra
231,231,"way too many characters - I couldn't keep them straight and it was WAY too long, by 50 - 75 pages",Negativa
232,232,"Meanwhile the first section of the ""Will"" the creator of everything left behind, has escaped from it's highly secured prison on a dead star",Neutra
233,233,"Gregory McDonald once wrote funny, interesting books",Positiva
234,234,"Then Arthur got a backpack full of salt and melted all the dogs, but no atlas was to be found",Neutra
235,235,I could not put Michael Marshall's latest down,Neutra
236,236,"The House is one of the most colourful places you could ever wish to visit, complete with everything from elevators to dinosaurs to coal cellars",Positiva
237,237,After Arthur had to go on a bus but made him self have an asthma attack and then was taken to the bus to be taken to the hospital,Neutra
238,238,"Secondly, the narrative isn't up to par with Mr",Negativa
239,239,Each time I read it I remember what it was like to be an akward teen going through the angst of my senior year,Neutra
240,240,I could not put this book down,Positiva
241,241,"Add to that the fact that one of the  characters, a Boston blue blood since before the revolution, makes a  personality change likely to cause a whiplash in anyone paying even the  most casual attention and you have a book that is unlikely to win MacDonald  any new fans",Negativa
242,242,"Eons passed, and then there was The Will",Neutra
243,243,"But what he finds when he does is a another world, calle the House, which was created by the Great Architect- the creator of all things",Neutra
244,244,"Still, many of his ambling sentences offer miniature lessons in patience  and perception: ""They rode back all day to the Columbia, traversed it on  the Colockum Ferry, and at dusk came into their orchard tired, on empty  stomachs, their hats tipped back, to walk the horses between the rows of  trees in a silent kind of processional, and Aidan ran his hands over limbs  as he passed them with his horse behind him, the limbs trembling in the  wake of his passing, and on, then, to the barn",Positiva
245,245,"This is a magical story, equally suitable for either boys or girls",Positiva
246,246,"But with Diabola, this could be a problem",Neutra
247,247,"I wish that the book was longer, but I'm looking forward to reading Class Trip II(2)",Negativa
248,248,My daughter and I both laughed out loud and gasped in horror as we read this book,Positiva
249,249,This was a good book,Positiva
250,250,Dr Tony Hill and DCI Jordan are back - hurrah!  Tony Hill is the profiler who has retired to a backwater university to lick his wounds after the traumatising experiences he has suffered in the past,Positiva
251,251,Out of all the books I read this is the best,Positiva
252,252,"I am a big fan of Garth Nix and really enjoyed his ""Abhorsen"" series",Positiva
253,253,The book is well-crafted and grips you as you work  through the developing enigma and misleading clues with the protagonist,Positiva
254,254,Arthur is put through a rigorous test of bravery and compassion to face the evil Mister Monday,Negativa
255,255,"&lt;DIV&gt;&lt;P style=""MARGIN: 0in 0in 0pt""&gt;Do you take a tent to the jungle? Does sand really get everywhere? And how do you even survive in the Arctic? This light-hearted but informative guide offers all the information needed for taking visits to the world’s most remote and inhospitable locations",Neutra
256,256,Young Arthur Penhaligon is an asthmatic,Neutra
257,257,Mister Monday is one book you will not put down,Positiva
258,258,"With this comparison in mind, it seems odd that the government finally crumbled the Capone empire with charges of tax evasion",Neutra
259,259,I thought that it was a very good book,Positiva
260,260,"Skylar, on the other hand, is a breath of fresh air (sorry for  the cliche)",Neutra
261,261,"That's why Mister Monday is so irresistible, and it's a great book not only for fantasy readers, but also for anyone looking for a great story",Positiva
262,262,She acknowledges that women want to be wives and mothers,Neutra
263,263,"The author crosses geographical boundaries; her plot lines involve police forces in England, Holland and Germany",Neutra
264,264,"It might be an entertaining point  of discussion with a child 12 or older, but it's too dark for younger ones,  unless you're ready to talk about true evil, adult motivations,  supernatural forces, and fratricide!",Neutra
265,265,This is dark fantasy at its best,Positiva
266,266,"Much more attention is paid to plot development, which, while nice, is only one half a needed whole",Positiva
267,267,Arthur has been chosen by the Will to become Heir to the Kingdom and set right the corruption that is destroying management of the realm,Positiva
268,268,"Instead, he's sitting staring out at the forested panorama &amp; remembering, for some odd reason, a high school classmate &amp; how she didn't quite fit in &amp; who, after trying to get the attention of the handsomest senior jock, committed suicide",Neutra
269,269,Everyone is sure to luv this book!,Positiva
270,270,"Problem is he's in the seventh grade and doesn't want to rule the world, all he wants to do is save his family and friends from a plague let lose by the same forces who don't want him to succeed, principally Mr",Neutra
271,271,"While reading this book, I was forced to confront some of my own pre-conceived notions of what it means to be a wife, mother, career woman, domestic, caretaker, [",Negativa
272,272,I don't have anything that comes to mind other than this wasn't a hugely character driven story but more plot driven and setting driven in my mind,Positiva
273,273,"It's a nice cautionary tale for students that are of high school age, but maybe I've read too much good Young Adult literature in the past to be impressed by this one",Positiva
274,274,Tony Hill is on the trail,Neutra
275,275,"Arthur must get through some horrifying trials to save his Earth from the plague, and to prove that he is the Rightful Heir",Neutra
276,276,"Arthur finds out the only way he can stop the plague in his world is to defeat Mister Monday, and a ceramic frog guides him along in his journey",Neutra
277,277,Smashing success,Positiva
278,278,"Where his ""Seventh Tower"" book was written for younger readers, and ""Abhorsen"" trilogy for teenagers (though many adults got in on the act), ""The Keys to the Kingdom"" are situated smack dab in the centre of these two age groups - though again, I hope this doesn't prevent people of any age group from reading them",Neutra
279,279,But these girls aren't,Neutra
280,280,He often comes across as being a great deal more about the sidebars/interactions/thoughts/situations than his actual endings,Neutra
281,281,Garth Nix creates a whole new world for us to explore,Neutra
282,282,It was just awesome,Positiva
283,283,"if you don't read this book then you will never read a book  that has sadness, badness, goodnes, and lotsof other things, all mixed  together",Neutra
284,284,It's just plain good!,Positiva
285,285,I really fell for this book,Positiva
286,286,"Because he doesn't, he is thrust into a world he never knew existed, with the fate of all worlds in his hands",Neutra
287,287,After half the book you will go on reading until the end because you want to know who the murderer is,Neutra
288,288,A little girl in Oregon goes missing,Neutra
289,289,"He fights many battles, and also meets a friend on the way, in the end he stops Monday and saves everyone",Neutra
290,290,"If there is any tool of education which highlights our depraved society, it is this book",Negativa
291,291,"The book follows the adventures of a young, asthmatic boy, who inherits a strange clockhand",Neutra
292,292,It is captivating from beginning to end with an extraordinary imaginative quality that is his trademark,Positiva
293,293,"Naturally Arthur wants to concentrate on curing the plague, since his own family is involved",Neutra
294,294,I think I found the book interesting because I was able to compare my views on wifedom and marriage to the views my mom has,Positiva
295,295,It will be one book I'll never give up,Positiva
296,296,Cuthberson-Jones is left alone to cope with DIabola something she has never done before,Neutra
297,297,"If you find that you're not really believing the characters after the first chapter or two, bail out",Negativa
298,298,"All and all, the book was great, and I recommend it to fantasy readers everywhere",Positiva
299,299,"He just wants to be a normal kid with a normal life, but is sucked into this world of magic and mystery, which he cannot escape",Negativa
300,300,He is followed by creatures called Fetchers,Neutra
301,301,This is a great first book of the series,Positiva
302,302,"However,I will say that Noon  22nd Century has many compelling characters",Positiva
303,303,Mister Monday  is a great book and I would highly recommend it,Positiva
304,304,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
305,305,"If you're looking for some real  Zindel, try I Never Loved Your Mind",Neutra
306,306,The ending seems trite and fumbles for closure,Negativa
307,307,"Unfortunately the rest of the story just felt like a bunch events related one after another, not unlike the bible",Negativa
308,308,"The real plot involves Carol, her relationship with Tony, and a sting operation that is completely unbelievable",Neutra
309,309,"In the end, I felt the whole story was pointless",Negativa
310,310,"While this book does provide many interesting and valid points - some which I agree with, some I do not - I feel this book is not focused enough and lacks an overall thesis",Neutra
311,311,"This is an original book, well written with interesting characters",Positiva
