,level_0,Sentence,Polarity_Classification
59,618,"I was interested enough in the strange and original concept to read on to the next book, so I would venture to say that Mister Monday is definitely worth reading at least once",Positiva
60,1050,It is to bad some reviewers think Anne has a chip on her shoulder,Negativa
61,690,"Likewise, when both Tony and Carol are captured separately, both are left tied up, but only one is gagged, and that omision serves purely to advance the plot from a seemingly impossible situation)",Negativa
62,1102,"The Intruders is no different in this regard, but that's why its so much fun to read!  If you like to be mentally twisted up in a book, Marshall's writing will accomodate you",Positiva
63,342,When I took the first look at the cover I  knew that it would be an wonderfull book,Positiva
64,181,"One child is so   angelic, it's like a piece of heaven came",Positiva
65,283,"Zndel is  generally a brilliant, brilliant writer, this book just did not measure up  to the standards it's being judged against",Positiva
66,691,"The ending is satisfying for the most part, although it would have been nice to have a final scene with Petra and Marijke, since it's not likely McDermid will use them again",Positiva
67,567,Dr Tony Hill and DCI Jordan are back - hurrah!  Tony Hill is the profiler who has retired to a backwater university to lick his wounds after the traumatising experiences he has suffered in the past,Positiva
68,752,"Lewis was also a broadcaster and prolific writer of literary criticism, science fiction, letters and religious themes, and his books continue to sell in their thousands, attracting generation after generation of new admirers",Positiva
69,367,They introduce their awkward friends Maggie and Dennis to each other,Negativa
70,1063,"However, some of the stories could have been left out",Negativa
71,391,"Overall the story is amazing, Garth Nix is really an incredibly imaginative author and everything he writes is always a great story",Positiva
72,104,"Tony Hill is also in Europe, helping the police solve a series of murders in which psychologists are the victims",Negativa
73,883,My favorite character in this book was Noon the first big Villain or henchman of Mister Monday,Positiva
74,388,"Suzy: a young girl, sensitive, impulsive, strong and brave",Positiva
75,295,"Plus, I wasn't satisfied with the resolution between Jack and Amy, and thought it was a bit anticlimactic",Negativa
76,576,"Anyone who has read Nix before, or anyone who hasn't, read this!  Be prepared for a journey of a lifetime crammed into one day",Positiva
77,19,""" Capone is a classic in true crime literature",Positiva
78,1106,There was good action,Positiva
79,566,"Val McDermid is a top-class crime writer - she rarely fails to deliver and I am pleased to say, this book is great",Positiva
80,196,"I would certainly RECOMMEND this book to all the young readers out there, and even a few of the older ones",Positiva
81,286,"On the face of it, Arthur Penhaligon is very poor material for a hero",Negativa
82,552,I loved this book probably because I love every book I read but mostly because Garth Nix is an awesome author,Positiva
83,881,Blah!  Way too strange and confusing!,Negativa
84,977,I liked the book for the most part but I think that the author could have put in more about Angela,Positiva
85,134,"The main theme of this book is that there is not and cannot be one script for how to be a wife, just as there is no one role for husband",Negativa
86,739,"In the book a senior named Liz faces problems like: I love my boy friend, but do I love him enough to have sex with him; and If I do get pregnant what will I do? Will I have the baby or get an abortion?  Paul Zindel did a great job writting this book",Positiva
87,16,"If you haven't experienced him in either incarnation, you've missed a treat and this novel is a perfect place to begin familiarising yourself with his work",Positiva
88,619,Garth Nix is usually the first author that I recommend when kids and teens ask me what to read once they've finished all the available Harry Potter books,Positiva
89,736,"Can Angela stop Diabola before its too late? Or will Diabola destroy the city? Read Angela and Diabola, by Lynn Reid Banks and find out!",Negativa
90,291,"com rates its readership the same as for Mister Monday--ages 9-12, which would be about right",Positiva
91,797,"Great book, check it out ;",Positiva
92,317,"Now, I had read all of the Seventh Tower Books before this book came out, so I knew that Garth Nix was a good author",Positiva
93,732,"This book was not at all that I would imagine it to be! It was kind of scary, so i had to read it in the daylight! This story was about two twins- One good and one very, very bad! Their names were Angela and Diabola",Negativa
94,213,I have been reading Agatha Christie and especially Poirot for last 10 years,Positiva
95,808,"This author did both, and added  a plot that, as others have pointed out, grows satisfyingly creepier on each page -- so much so that I found myself standing at a cross-walk in broad daylight thinking, ""I really need to start paying more attention to who's around me",Positiva
96,924,I loved it because Diabola asking for money and sending away those 2 people with the invisibe gun that shot 1 of them away,Positiva
97,47,"""Mister Monday"" is another great book from Garth Nix, combining darkness and fantasy and leaving the ending open for the second book of the series",Positiva
98,544,"Diabola in the other hand was born crying, kicking fighting",Negativa
99,469,It takes about two chapters or so before the reader adjusts to the insane style,Negativa
100,775,"If you are a wife, you'll find yourself somewhere in these pages",Positiva
101,692,"The book Mister Monday by Garth Nix , was a very good book",Positiva
102,584,This confusion is only helped by the fact that Nix tends to rely on extremely vague descriptions of characters and environments that leave the reader wondering where the characters are and what they look like,Negativa
103,27,"The book had a far-fetched premise, but once I was able to move past that detail, the book was readable, albeit unrealistic",Negativa
104,613,"The world that he lives in is similar to ours, but different enough to be intriguing",Negativa
105,249,Cuthbertson-Jones are in the kitchen in their apartment and men come in and try to steal all their food,Negativa
106,145,This book is not a man-bashing book but an uplifting book for women--or more or less a cautionairy tale,Positiva
107,615,This book is terrific and I loved it!  Could it be this writer is selling more books than her?  It''s a thought,Positiva
108,244,After that Diabola starts acting even more diabolic,Negativa
109,992,It is a great book for children ages 10-13 and Garth Nix creates a captivating and exciting world,Positiva
110,382,"Instead, she seems to challenge us to define ourselves beyond restrictive labels",Positiva
111,563,She succeeds in creating full rich characters that illicit a great deal of empathy with the reader,Positiva
112,472,"Mister Monday's lazy personality completely changes when his authority is threatened, and after a violent confrontation, Arthur emerges victorious",Positiva
113,791,"And it's the length of WINSTON'S WAR that is, perhaps, a minor flaw",Negativa
114,204,"Maggie and Dennis  weren't all that romantic and close,but they were the strongest characters",Positiva
115,200,He also was generous to those who were loyal to him,Positiva
116,597,"On Cannon Beach in Oregon, a nine year old girl is struggling with nightmares, her parents' uneasy marriage, &amp; something far more frightening: loss of memory &amp; the arrival of a stranger as she's out on the beach wondering how she got there",Negativa
117,387,"Arthur Penhaligon and Suzy Blue are two amazing characters, Arthur: a normal boy, asthmatic, not too confident about himself, intelligent and thoughtful",Positiva
118,536,I think that Angela and Diabola is the best book I read this year!!!!!!!!!!,Positiva
119,97,She's not a great writer but she's a fabulous storyteller and her Tony Hill/Carol Jordan mysteries are the best of the bunch,Positiva
120,327,"He has things relating to time, space, extremely tall houses that can slow time the moment you touch it",Positiva
121,560,"At the same time, a serial killer is murdering psychology professors in Germany",Negativa
122,825,I did not enjoy this book very much at all,Negativa
123,777,the cover is what first drew me to this book,Positiva
124,843,"It was full of action and twists and turns, very satisfying",Positiva
125,960,This story is a very fascinating and you never want to put the book down,Positiva
126,603,"Sometimes I found myself rereading sentences because they were a bit esoteric, but overall the book is extremely accessible and thought-provoking",Positiva
127,289,"I wouldn't like it myself because if a brilliant deviation from the outlined plot occurred to me for a later book, but it needed a rewrite of the first book, this couldn't be done",Negativa
128,606,But her superiors see her as something more and offer her a job working undercover,Positiva
129,638,"In novel after novel, from Only Forward to Blood of Angels and now to The Intruders, he is able to deftly create sharply incisive and deeply observed characters inside the first page and sustain that sense of compassion and understanding throughout the work, no matter the form within which he is working, no matter the subject",Positiva
130,556,"By a dispassionate and careful treatment of the very difficult material, he manages to write a compelling book about a terrible subject",Positiva
131,533,"I loved it when Diabola went asking for money and said, "" Give me some money and I won't hurt you!"" to the man and sending away those 2 people with the invisibe gun that shot 1 of them away",Positiva
132,4,You are transported through a mystical land that gets better as you proceed,Positiva
133,1045,Wow! This book is a sure fire winner,Positiva
134,353,You find your self almost hurrying to the next page because the suspense builds through to the end of the book,Positiva
135,230,Excellent plotting and character development,Positiva
136,77,"The character development is very good for the supporting characters like Suzy Blue and the Will, but not so good for Arthur himself",Positiva
137,598,"When the idea that she's got to go somewhere sets her traveling, the people who help her along the way come to rue it as this nice, little girl with headaches has a killer's instincts",Negativa
138,399,"If you are looking for a thrilling fantasy book, I recommend that you read the series of books The Keys to the Kingdom by Garth Nix",Positiva
139,809,This is an execellent book about teenagers and all the usual problems teens go through,Positiva
140,766,Then he is saved from a lethal asthma attack by a man in a bath chair wielding the minute hand off of a gigantic clock,Negativa
141,633,"And yet Mr Keay has some great words for it:""No pin-up ever approached the provocative postures, the smouldering looks and the langourous gestures of the Khajuraho nymphs",Positiva
142,515,Everyone is sure to luv this book!,Positiva
143,50,"THis series isn't as good as the Abhorson series, but then it is aimed at a younger audience",Positiva
144,1064,"At times, I found myself wondering if the author would ever start discussing Capone",Negativa
145,912,"But, overall, Mister Monday is a page turner that's so creative and captivating, its shortcomings are largely made up for",Positiva
146,409,"The first half of this novel is certainly well written, but the plotline is disjointed and makes little sense",Negativa
147,25,The plot moves right along and the young hero is likeable and delightfully normal,Positiva
148,308,The concept of the murderer who is brilliant enough to manipulate others into doing the job for him is extremely interesting,Positiva
149,149,He couldn't bear to have more loved ones lost to a disease outbreak,Negativa
150,616,"It often gets muddled with overwhelming imagery, perhaps to make up for a lack of plot from time to time",Negativa
151,352,The book sneaks up on you and really [stinks] you in,Positiva
152,1107,This book had a good story plot,Positiva
153,623,The book is well-crafted and grips you as you work  through the developing enigma and misleading clues with the protagonist,Positiva
154,965,I do reccomend this book to those who:,Positiva
155,957,I would recommend this to  all ages,Positiva
156,94,The key makes it possible for Arthur to live through a brutal asthma attack on the first day at this new school,Negativa
157,43,"At the same time, we have the bloodwinged, silver-tongued Noon and the ugly Fetchers, not to mention the hideous nithlings",Negativa
158,370,I could not put this book down if my life depended on it! I have never in my life read a book this fast,Positiva
159,411,"In the end, I felt the whole story was pointless",Negativa
160,375,"This was one of the best books on the subjects of women, work, and family that I have read to date",Positiva
161,183,"Instead, it appears to have been written by a woman with a chip on her shoulder with a pessimistic view of society and women's abilities to think for themselves",Negativa
162,933,The main gender that would want to read this book would be girls because of what the story is based on and because they can relate to it the best,Positiva
163,541,"How you know you don't like it is if you don't like exciting, funny and adventurous books",Positiva
164,593,"Suzy is an excellent character, a good partner/guide for Arthur and the best friend he could have in this world",Positiva
165,744,At first it is funny,Positiva
166,823,highly recommended!,Positiva
167,2,Mister Monday is a phenomenal book that gets an excellent 10/10,Positiva
168,591,"Arthur Penhaligon (and that just has to be a reference to the Arthurian legend) is just an average kid with bad asthma, until he has an attack that nearly kills him and suddenly finds himself a big player in a world that exists outside reality as he knows it",Negativa
169,1114,"Arthur, and young boy that was not athletic and had asthma problems, saved the whole world with his key",Positiva
170,261,"However, the first part of the Will, which is a living entity, has escaped and engineered the transfer of part of Monday's Key (the minute hand) into the possession of a mortal, Arthur, who is now the Architect's Heir",Positiva
171,42,"The handling of the parallel world, the Will, Sneezer, and the Key and Atlas are all wonderfully woven together, not to mention the characters of Dawn, Dusk, Noon for each day, and so on",Positiva
172,148,"&lt;br&gt;     But with this key comes strange creatures from another dimension who pursue the key, and though he doesn't know why, Aurther knows that he shouldn't give it to them{they work for Mister Monday- who wants the key back}",Negativa
173,434,Freud's concepts are untestable (the experience - transfer - between analysand and analyst is unique) and nebulous (reality can always be made conform to the system),Negativa
174,510,"Garth Nix did a great job, and I can't wait to read Grim Tuesday, the next book in the Keys to the Kingdom series!",Positiva
175,1093,"I have read and used this book many, many times",Positiva
176,821,i love this book and would reccomend it to any teenage person,Positiva
177,302,The ending is a depressing let-down,Negativa
178,607,Val McDermid has once again produced an exciting and entertaining thriller,Positiva
179,592,"You do, eventually, get used to it, but it takes a long while and I felt a bit lost for half of the book",Negativa
180,488,"for a long while, the book just wasn't very interesting",Negativa
181,426,Mister Monday is an interesting Fantasy novel that draws readers in from the very beginning,Positiva
182,59,It was a great book and its based in a place near where  I live,Positiva
183,215,I'll rate this novel the third best I have read only after Murder of Roger Ackryod and Murder on Orient Express,Positiva
184,857,"This is a magical story, equally suitable for either boys or girls",Positiva
185,456,Mister Monday is one book you will not put down,Positiva
186,305,"I have read all of the Poirot stories, and this is by far my favorite",Positiva
187,611,but when these dog-faced creatures come to reclaim it they also bring this plague to the world and aurther is the only one who can get the cure,Positiva
188,89,"I will be perfectly honest, Mister Monday is amazing",Positiva
189,329,"Will Arthur save the world from the plague? How did the ""Will"" escape? Read Mister Monday and all those questions will be answered!",Negativa
190,217,Its too good,Positiva
191,1067,The generous side of Capone is one that is less frequently discussed,Positiva
192,18,"Valentine's Day massacre to his eventual control of Chicago, here is the inside scoop on ""Snorky"" aka ""Scarface"" aka ""Public Enemy Number One",Negativa
193,360,"Though this series is different from Garth Nix's preivous two series, it's still stays up to my espectations of being mysteroius and strange",Positiva
194,243,The principal only starts to doubt that Diabola is a genius when she burns down the school building,Negativa
195,635,"But I was a little disappointed that there was nothing of mathematics, astronomy, music",Negativa
196,172,"However, I think the recommended age range (4-6)is a little off",Negativa
197,455,"The book relates, with common sense and humor, instructions given early Americans on proper table manners, conversation and correspondence, dress, behavior in the drawing room and in public places, and it includes a special, more intimate section - ""For Womankind""",Positiva
198,7,Its about twins,Positiva
199,405,THIS BOOK WAS THE BEST NUMBER ONE 1,Positiva
200,354,Very good characters with competent development and well thought out roles within the story,Positiva
201,357,I found this a good book from a good author,Positiva
202,483,I recommend this book to those who have situations that,Positiva
203,1029,"His fantasy works are not cliché or based on traditional fantasy but they are full of fresh, imagination and worlds and characters we can learn to love",Positiva
204,531,"Angela and Diabola is a silly, funny and a great book",Positiva
205,273,I even changed my name to Mister Monday!!!!!!!!!,Positiva
206,100,"Hill, a clinical psychologist who consults with the police as a profiler, and Carol Jordan, the police officer with whom he works most closely, always feel like real people with investigative abilities and compassion that are easy to admire and foibles that are easy to relate to",Positiva
207,339,I just could not put this book down,Positiva
208,53,This fantasy will certainly hit the mark for anyone who enjoys the genre,Positiva
209,479,This is as imaginative as writing can get,Positiva
210,869,It's certainly a shocker,Negativa
211,704,"'  I did want to find out how it turned out, so despite all criticisms, I think it probably works for the early teenager that hasn't already read everything in the genre",Positiva
212,1000,It truly gives honor to all Native Women and the traditions and culture that makes them so rich and alive,Positiva
213,568,Running parallel to this is a creepy serial killer who Tony Hill tries to find and unmask,Negativa
214,346,Garth Nix really outdid hiself when he wrote this one,Positiva
215,135,"This is a well-written, researched, and balanced look at what marriage means now, not just wife",Positiva
216,176,"Unfortunately the rest of the story just felt like a bunch events related one after another, not unlike the bible",Negativa
217,631,"However,I will say that Noon  22nd Century has many compelling characters",Positiva
218,392,I'd recommend this book to any fantasy fan or any fan of a really good story,Positiva
219,634,"There are a couple of add-on chapters that seem a bit out of place, concerning flora and fauna",Negativa
220,989,It really made me think which is hard because I'm not a big reader,Positiva
221,545,She had teeth to bite the nurse's thumb and forefinger,Negativa
222,385,"Her writing continues to soar above most of her peers, and the relationship between the two protagonists keeps the reader coming back for book after book",Positiva
223,110,"In order to get where she wants to go, she has to have Carol Jordan do something completely out of character and, frankly, she doesn't do a good job of convincing us of the reason",Negativa
224,994,The mystery is secondary to the rest of the story and is only really approached in the remaining 30 pages of the book,Negativa
225,862,This is an adventure as exciting as you could wish for - and never predictable,Positiva
226,412,THE INTRUDERS is further weakened by the lack of a truly likable character,Negativa
227,599,"THE INTRUDERS is a tale well-spun with lashings of deceit &amp; determination, action &amp; clues, body &amp; mind invasions &amp; chases, &amp; other scary stuff",Positiva
228,782,"It was a very dark and mysterious book, but it kept me gripped all the way through",Positiva
229,374,I devoured and enjoyed every bit of this book,Positiva
230,83,This book is jam-packed with many fantastical inventions that is purely Nix at his best,Positiva
231,642,"Actually the most vivid memory I have of the story is when Liz calls home to say she'll be late, her stepfather calls her a tramp, and that's when she succumbs to Sean's pressure to have sex",Negativa
232,605,"This is a serial killer story, but it is so much more",Positiva
233,262,"Garth Nix's originality, while not of the same type as Philip Pullman's, never ceases to amaze me",Positiva
234,184,"She gives more power and validity to pop-culture than it deserves and puts a negative spin on happy, non-harmful traditions",Negativa
235,445,"I was kind of expecting Leaf to be with Arthur through the book as a sidekick, but I liked Suzy just as well",Positiva
236,503,Without any sense of trying to make the experience any more horrifying than it was Primo Levi describes the day to day existence with clarity,Positiva
237,80,"But even more important, as Gellner emphasizes, the fraud of Freudianism is a typical example of the functioning of human society in general:",Negativa
238,859,Nix has managed to avoid creating people who are stereotypically either good or bad,Positiva
239,972,I am 13 and I still enjoy it,Positiva
240,437,A must read for all guild-members and outsiders,Positiva
241,805,"Wonderful, detailed illustration - if you can't find the plant by these pictures, you're not trying",Positiva
242,868,"Talk about going out with a bang!  The whole book is one big deceit, and Poirot is the biggest deceiver of all",Negativa
243,846,"On of the greatest scenes of action is when Arthur and Mister Monday are fighting, the descriptiveness was so vivid I thought I was watching them the whole time",Positiva
244,144,I almost didn't read it; I'm so glad I did,Positiva
245,153,"Garth Nix did a great job, and I can't wait to read Grim Tuesday, the next book in the Keys to the Kingdom series!",Positiva
246,107,"There are some serious problems with the novel, however, that make it the weakest of the bunch",Negativa
247,450,"There are connections, and I like a book like that",Positiva
248,142,"At the end of the story, you will know the characters so well, you will wish there was a sequel!",Positiva
249,650,Worse of all is the outbreak of a mysterious illness that puts the whole community into quarantine and Arthur's own family in danger,Negativa
250,1070,The author followed through with the title in the beginning with an overwhelming introduction,Positiva
251,873,This started as a promising story,Positiva
252,348,This is a dark side of the moon kind of book it is full of suspense and you never what will happen next,Positiva
253,818,"The author notes a curious reversal of sentiments among highly educated younger women, who are more and more eschewing independent careers advocated by feminism to become wives",Negativa
254,379,"This is a thought-provoking look at the history of how wives are perceived(and yes, let's take our blinders off people, because in one way or another, pop culture affects how we define ourselves, and it sure as heck is affecting our children!)",Positiva
255,61,"This book is such a clever, compelling read that I was sorely disappointed to have to wait for more",Positiva
256,522,I think this writer could be really talented and has a lot to offer he just needs to stay in the real world,Positiva
257,269,I love Garth Nix's books but I did find Mr,Positiva
258,384,Her psychological material is carefully researched and propels the plot along at a brisk pace,Positiva
259,985,"Which is interesting in ways which will be revealed once you read the book, remembering that ""Prometheus"" means ""Forethought""",Positiva
260,312,"If you only have time to read one chapter, read chapter 2 ""Heart of Whiteness"" about the wedding industry",Positiva
261,279,"In ""Skylar"", yankee cousin Jonathan  Whitfield is a fish out of water when he comes south for a visit",Negativa
262,1117,"From the award-winning author of ""Snow Falling on Cedars"" comes the bold and beautiful story of a retired heart surgeon with cancer who heads toward the wooded territory of eastern Washington intending to commit suicide",Positiva
263,274,We purchased the audiobook version of this book,Positiva
264,620,"Nix's prose is by no means a thing of wonder on its own, but his characters, his humor and his whimscal worldbuilding make up for this fact",Positiva
265,448,I liked how he made me think about what I was reading,Positiva
266,124,The only thing they have in common is they both  love to draw,Positiva
267,954,It's  a good story about friendship as well as true love,Positiva
268,956,I really fell for this book,Positiva
269,678,This author illustrates for the reader just how vile murder and violence are,Negativa
270,316,"It's a story about adventure, but also about responsibility, and courage, and overall I could recommend it to any boy or girl, and their parents, to read it!",Positiva
271,1073,"In total, I found this book to be more than adequate",Positiva
272,562,Val McDermid is a superb storyteller,Positiva
273,526,It is very short and has little action,Negativa
274,688,"The 'serial killer' subplot is not quite as riveting as it might have been, relying on the coincidence of Tony knowing one of the victims",Negativa
275,564,The parallel plots work quite well together and greatly heighten suspense to the degree that the book simply cannot be put down,Positiva
276,236,I loved this book it was very good,Positiva
277,439,"It is a very mysterious book, with more beginnings then ends",Positiva
278,461,This book is awesome!,Positiva
279,1023,"Great novel, the ever faithful Captain Arthur Hastings is narrating, and things go out with a bang",Positiva
280,228,Smashing success,Positiva
281,250,Diabola becomes mad and uses her powers to make their eyes sting,Negativa
282,160,"I have to say, I haven't read anything yet by Garth Nix that I didn't enjoy, but Mister Monday is by far my favorite",Positiva
283,550,"This is a new favorite!  By the way, I'm 30",Positiva
284,988,I thought that it was a very good book,Positiva
285,874,I couldn't put it down in the beginning,Positiva
286,639,"Astonishingly, he consistently crafts genre novels that read like literature, with firm, muscular, and often unexpectedly brilliant prose that forcefully carries intricately layered and compelling stories",Positiva
287,936,"here he must reclaim the house from the sinister morrow days mister monday, grim tuesday, drowned wednesday, sir thursday, lady friday, supirior saturday, and lord sunday",Negativa
288,277,"In  addition, the layers of the story were sufficient for my husband &amp; I to  enjoy the book as well (we listened on a long car trip)",Positiva
289,711,"These books have Garth Nix's classic prosaic style of writing, with interestingly new concepts woven in, the Morrow Days; Dawn, Noon and Dusk; and the Will",Positiva
290,1048,His characters are believable and descriptions vivid,Positiva
291,330,"This is NOT a lost art here, people, &amp; there are Native artists producing both traditional &amp; contemporary beadwork that easily rivals the work of our grandparents",Positiva
292,855,My daughter and I both laughed out loud and gasped in horror as we read this book,Positiva
293,707,It has too few words and virtually no plot,Negativa
294,772,This book is nice for schoolchildren because it teaches them good values,Positiva
295,815,The story of Al Capone is brilliantly laid out in an easy to follow format that takes the reader through Capone's life and motivations,Positiva
296,717,"I liked the story, but it lacked the detail and depth that can be found in Tolkien and Rowling",Positiva
297,169,"In this fantastic story of trust and adventures, a boy named Author holds the Key to the future, and what will that bring?",Positiva
298,648,"But the Days tore the Will into seven pieces and scattered the scraps across the known worlds to be guarded forever more, and only now - thousands of years later - has one fragment of the Will managed to escape",Negativa
299,497,"The men, with the exception of leading man Tony Hill, are mostly all egotistical, back-stabbing, power-hungry morons of the lowest order, while Hill is rendered impotent -- a redundant bit of emasculation since all the other males are castrated of their moral fiber",Negativa
300,159,"The arc of the stories is huge, but strongly anchored in the characters and Nix's attention to details",Positiva
301,106,"The writing also starts to improve with this book and the secondary protagonists, two female, European police officers who develop a long-term relationship with each other, are the best of any of the books",Positiva
302,940,"I had read some MMS here and there; just not really getting into any particular piece, but this book had me spellbound!",Positiva
303,419,"That made me want to read just some of the first chapter, and I ended up reading the entire book",Positiva
304,377,"One thing is for sure, this is not another boring history book",Positiva
305,155,"Garth Nix has become my new favorite writer, and my discovery started with Mister Monday, the first in the Keys to the Kingdom series",Positiva
306,453,"The author explains the ""Wedding Industrial Complex"" that drives the image of the ""perfect"" wedding at the expense of all sensibilities",Negativa
307,684,cute board book for the cat lover or animal lover,Positiva
308,537,"Garth Nix has done it again, he has again come up with a new and creative plot in a magical world even more real than that of his Old Kingdom",Positiva
309,390,"There are other great secondary characters as well, Monday's Noon: the bad guy, loyal servant, strong and fierce",Positiva
310,1007,To some degree it does still speak to teens today,Positiva
311,511,"Gregory McDonald once wrote funny, interesting books",Positiva
312,658,"The book suffers little from the amount of ideas and concepts that Nix crams between its covers, which can seem either random or confusing to a first-time reader",Negativa
313,1046,I could not put the book down,Positiva
314,1116,Best of the Best,Positiva
315,850,"Finally how everyone changed over the story, the characters in this story changed a lot in through the story",Positiva
316,209,Underneath the veneer of success Liz and Sean have problems with their parents and each other,Negativa
317,1011,"But she's such a self-absorbed person, constantly ridiculing her best friend and at the same time dragging Maggie into horrid and dangerous situations, that by the end you feel zippo pity for her",Negativa
318,422,Grown ups and kids will be hooked from the get go,Positiva
319,44,This is dark fantasy at its best,Positiva
320,1076,"It had a total turn of things, it wasn't the same as other books you might read",Positiva
321,459,I would recommed this book for ages 11 and up,Positiva
322,866,Ilove the book,Positiva
323,759,"Instead she is sent into deep undercover to bring down a notorious criminal named Tadeusz Radecki and his right hand man Darko Krasic, who are based in Germany",Negativa
324,477,"I really liked the book a lot, but six more books seems like too much to read when I already have an extensive reading list",Positiva
325,549,"In any case, I wasn't expecting much but I was overwhelmed by the complexity yet clearness of Garth Nix's writing",Positiva
326,207,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
327,853,So all in all this was a great book I would recommend it to anyone,Positiva
328,386,Garth Nix built a story like no other,Positiva
